timestamp,backend_cpu_pct,backend_rss_kb,jmeter_cpu_pct,jmeter_rss_kb
2026-08-12T14:21:36+0700,0.4,66560,
2026-08-12T14:21:37+0700,0.0,66560,201.2,195984
2026-08-12T14:21:38+0700,0.6,66624,84.3,260176
2026-08-12T14:21:39+0700,2.0,67040,16.0,269008
2026-08-12T14:21:40+0700,2.2,65360,8.8,271536
2026-08-12T14:21:41+0700,3.0,66816,5.3,273680
2026-08-12T14:21:42+0700,1.5,65872,7.5,276112
2026-08-12T14:21:43+0700,1.4,66032,13.1,293632
2026-08-12T14:21:44+0700,1.8,63520,5.8,296000
2026-08-12T14:21:45+0700,1.5,63792,5.5,276016
2026-08-12T14:21:46+0700,1.8,64000,4.8,259120
2026-08-12T14:21:48+0700,1.5,64144,5.3,261328
2026-08-12T14:21:49+0700,1.6,64144,5.5,252832
2026-08-12T14:21:50+0700,1.1,64256,4.2,254416
2026-08-12T14:21:51+0700,0.0,62464,39.6,330288
